AnimeName	comedy	shounen	drama	action	adventure	fantasy	scifi	romance	supernatural	mystery	sliceoflife	school	seinen	historical	sports	SearchContents
Aria The Avvenire	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	aria japan manga series written illustrate kozue amano the series originally titled aqua publish enix magazine monthly stencil retitle move mag garden magazine comic blade aqua serialize stencil 2001 2002 collected two tankbon volumes aria serialize comic blade november 2002 april 2008 collected twelve volumes now akari mizunashi prima undine head aria company own apprentice ai aino help reminisce time single current comic blade amanchu aria futuristic heal comic drawn kozue amano acclaim serial aria avvenire episode ova anime release 10th anniversary anime series 24 december 2015 the three episode screen september 2016 anime 10th anniversary the bluray box aria tv series contained one episode aria avvenire total three aria animation box ship episode 24 12 2015 aria avvenire release 10th anniversary bluray box set anime series 24 december 2015 24 june 2016
Aria The Natural	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	aria utopian science fantasy manga kozue amano the series originally titled aqua publish enix magazine monthly stencil retitle move mag garden magazine comic blade aria serialize comic blade november 2002 april 2008 collected twelve volumes aria company small waterguide company start two employee aria the originate follow hardship daily lives three young girl best improve tour gondolier neovenezia terraforme replica venice aria originate broadcast video demand vod start june 2008 dvd box set release 28 november 2008 in neo venezia akari aika alice work diligent prima undine it long dream akari aika alice reach status prima dream kept trio working the waterladen city neovenezia haven tourist dream chaser aria the animation anime adaptation kozue amano bestsell manga same direct junichi sato animation hal film maker
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	special episode base manga navigation 39 entitle the secret place its action take place episode aria originate it year 2301 man terraforme mars beautiful water planet rename aqua aria japan manga series written illustrate kozue amano the series originally titled aqua publish enix magazine monthly stencil retitle move mag garden magazine comic blade aria serialize comic blade november 2002 april 2008 collected twelve volumes current comic blade amanchu aria futuristic heal comic drawn kozue amano acclaim serial the three episode screen september 2016 anime 10th anniversary special episode base 39th chapter manga call secret place
Aria The Origination	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	aria utopian science fantasy manga kozue amano the series originally titled aqua publish enix magazine monthly stencil retitle move mag garden magazine comic blade aria serialize comic blade november 2002 april 2008 collected twelve volumes aria company small waterguide company start two employee aria the originate follow hardship daily lives three young girl best improve tour gondolier neovenezia terraforme replica venice aria originate broadcast video demand vod start june 2008 dvd box set release 28 november 2008 in neo venezia akari aika alice work diligent prima undine it long dream akari aika alice reach status prima dream kept trio working the waterladen city neovenezia haven tourist dream chaser aria the animation anime adaptation kozue amano bestsell manga same direct junichi sato animation hal film maker
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	aria utopian science fantasy manga kozue amano the series originally titled aqua publish enix magazine monthly stencil retitle move mag garden magazine comic blade aria serialize comic blade november 2002 april 2008 collected twelve volumes aqua aria adapt hal film maker original video animation ova titled aria ova arietta third season titled aria originate aria the originate follow hardship daily lives three young girl best improve tour gondolier neovenezia terraforme replica venice akari mizunashi dream life attain goal prima undine waking realize confidence run aria company own aria ova arietta singleepisode ova titled aria ova arietta release 21 september 2007 broadcast atx september 2007 it long dream akari aika alice reach status prima dream kept trio working the waterladen city neovenezia haven tourist dream chaser someday aria company akari care but akari sure shell confident handle big responsibility
Ashita no Joe 2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	ashita joe boxing manga written asao takamori illustrate tetsuya chiba 1968 later adapt anime series movie outside japan refer champion joe rocky joe tomorrow joe simply joe the series debut manga weekly shnen magazine time considerable economic social upheaval transform japan culture late 1960s ashita joe originally serialize japan weekly shnen magazine 1968 1973 continuation previous sere ashita joe popular manga tetsuya chiba later made animation series ashita joe start life 70s saw short revival 1980 1981 title character joe yabuki hail slum tokyo find place world boxing train take uncouth punk after accident killing rival boxing match six month ago joe boxer steps ring pick pieces past regain glory the ashita joe movie introduce 1980 reuse footage tv series identical story reduce length it received official english release publish italy star comics france glnat edition
Ashita no Joe	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	ashita joe boxing manga written asao takamori illustrate tetsuya chiba 1968 later adapt anime series movie outside japan refer champion joe rocky joe tomorrow joe simply joe the series debut manga weekly shnen magazine time considerable economic social upheaval transform japan culture late 1960s ashita joe originally serialize japan weekly shnen magazine 1968 1973 continuation previous sere ashita joe popular manga tetsuya chiba later made animation series ashita joe start life 70s saw short revival 1980 1981 title character joe yabuki hail slum tokyo find place world boxing train take uncouth punk after accident killing rival boxing match six month ago joe boxer steps ring pick pieces past regain glory the ashita joe movie introduce 1980 reuse footage tv series identical story reduce length it received official english release publish italy star comics france glnat edition
Azumanga Daioh	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	azumanga daioh japan yonkoma comedy manga series written illustrate kiyohiko azuma serialize mediawork dengeki daioh magazine february 1999 may 2002 three additional chapter publish shogakukan monthly shnen sunday may 2009 celebrate manga tenth anniversary the manga release english adv manga later reissue yen press chiyo mihama begin high school career one strangest student freshman classa tiny 10yearold academic prodigy fond plush doll homemade cooking azumanga daioh the animation anime adaptation azumanga daioh produce staff air april 2002 september 30 2002 it broadcast tv tokyo tv aichi tv osaka atx fiveminute segment weekday humorous highly unpredictable animate series following group high school girl teacher comedy manga series anime base azumanga daioh disjointed occasional surreal story six high school girl teacher azumanga daio originally serialize popular electric shock daio manga the story revolve high school girl azumanga daioh 2002 japan anime series passage group girl prestigious japan high school
Baby Steps 2nd Season	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	baby steps japan manga series hikaru katsuki it serialize kodansha weekly shnen magazine october 2007 the story center eiichir maruo year honor student one decide lacking exercise baby steps 2nd season take action america eiichirou begin twoweek training program get taste tennis outside japan after decided play tennis professional level eiichirou maruo now needs convince parent support decision the second season story pick florida academy rival player practice clash order promote ranking for season eiichir decided wants pro his mother win alljapan junior year pro it won 38th kodansha manga award best shnen manga category in 2014 baby steps won 38th kodansha manga award best shnen manga category
Baccano! Specials	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	baccano japan light novel series written ryohgo narita illustrate katsumi enami it focus including alchemist thief thug mafiosi camorristi unconnected one the baccano light novel written ryohgo narita illustrate katsumi enami baccano 2007 anime series direct takahiro omori produce brains base aniplex the 16 episode adapt light novel same written ryohgo narita illustrate katsumi enami baccano anime studio brains base base off light novel series same ryohgo narita baccano base ryohgo narita awardwinn light novel same title adapt novel each story series involve unrelated plot intersect crossing event spiral out control baccano originally start series light novel summarize adapt 13episode anime 2007 the anime adaptation light novel series baccano brought screen audience floor
Baccano!	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	baccano japan light novel series written ryohgo narita illustrate katsumi enami it focus including alchemist thief thug mafiosi camorristi unconnected one the baccano light novel written ryohgo narita illustrate katsumi enami baccano 2007 anime series direct takahiro omori produce brains base aniplex the 16 episode adapt light novel same written ryohgo narita illustrate katsumi enami baccano anime studio brains base base off light novel series same ryohgo narita baccano base ryohgo narita awardwinn light novel same title adapt novel each story series involve unrelated plot intersect crossing event spiral out control baccano originally start series light novel summarize adapt 13episode anime 2007 the anime adaptation light novel series baccano brought screen audience floor
Bakemono no Ko	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	the boy beast 2015 japan animate actionadventure fantasy film written direct mamoru hosoda it release july 11 2015 it won animation year 37th japan academy prize gross 85 billion japan box office two soul living different lives wander alone isolated respective world bakemono ko japan second highestgross domestic film 2015 it won japan academy prize best animate feature nominate annie award independent category the boy beast combine familiar parts create gripping beautiful animate adventure inventive storytell match visual appeal bakemono ko depict relationship conflict average japan boy ren mythical beast kumatetsu the story set human realm bakemono realm the boy beast 2015 japan animate film direct mamoru hosoda direct summer war wolf children ame yuki
Bakemonogatari	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	monogatari japan light novel series written nisio isin illustrate vofan the plot center koyomi araragi thirdyear high school student survive vampire attack subsequent find helping girl involved variety apparition deity ghost beast spirits supernatural phenomena the monogatari series series light novel written nisioisin illustrate vofan it tell story koyomi araragi high school senior thrown world supernatural vampire first season monogatari series part 16 contain arc hitagi crab mayoi snail suruga monkey nadeko snake tsubasa cat bakemonogatari light novel koyomi araragi thirdyear high school student manage survive vampire attack help meme oshino strange man reside abandoned building manga series illustrate oh adapt series arc bakemonogatari serialize kodansha weekly shnen magazine march 2018 the series debut bakemonogatari air 12 episode july september 25 2009 tokyo mx television station bakemonogatari written nisioisin one popular writer japan series consist different story thirdyear high school student koyomi araragi human cure vampir seek help supernatural problem
Bakuman. 2nd Season	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	bakuman japan manga series written tsugumi ohba illustrate takeshi obata same creative team responsible death note it serialize magazine weekly shnen jump august 11 2008 april 23 2012 the story follow talented artist moritaka mashiro aspire writer akito takagi in bakuman 3rd season muto ashirogi find stay atop colossal mountain known shounen jack ranking onto third serialize manga duo moritaka mashiro akito takagialso known pen muto ashirogiare close dream anime adapt bakuman follow simple premisethe trial tribulation face two young manga artist bakuman anime produce japan animation studio staff base bakuman manga tsugumi ohba takeshi obata onto third serialize manga duo moritaka mashiro akito takagialso known pen muto ashirogiare close dream anime adapt the bakuman anime series base manga series same written tsugumi ohba illustrate takeshi obata the anime direct kenichi kasai animate staff produce nhk
Bakuman. 3rd Season	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	bakuman japan manga series written tsugumi ohba illustrate takeshi obata same creative team responsible death note it serialize magazine weekly shnen jump august 11 2008 april 23 2012 the story follow talented artist moritaka mashiro aspire writer akito takagi in bakuman 3rd season muto ashirogi find stay atop colossal mountain known shounen jack ranking onto third serialize manga duo moritaka mashiro akito takagialso known pen muto ashirogiare close dream anime adapt bakuman follow simple premisethe trial tribulation face two young manga artist bakuman anime produce japan animation studio staff base bakuman manga tsugumi ohba takeshi obata onto third serialize manga duo moritaka mashiro akito takagialso known pen muto ashirogiare close dream anime adapt the bakuman anime series base manga series same written tsugumi ohba illustrate takeshi obata the anime direct kenichi kasai animate staff produce nhk
Bakuman.	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	bakuman japan manga series written tsugumi ohba illustrate takeshi obata same creative team responsible death note it serialize magazine weekly shnen jump august 11 2008 april 23 2012 the story follow talented artist moritaka mashiro aspire writer akito takagi in bakuman 3rd season muto ashirogi find stay atop colossal mountain known shounen jack ranking onto third serialize manga duo moritaka mashiro akito takagialso known pen muto ashirogiare close dream anime adapt bakuman follow simple premisethe trial tribulation face two young manga artist bakuman anime produce japan animation studio staff base bakuman manga tsugumi ohba takeshi obata onto third serialize manga duo moritaka mashiro akito takagialso known pen muto ashirogiare close dream anime adapt the bakuman anime series base manga series same written tsugumi ohba illustrate takeshi obata the anime direct kenichi kasai animate staff produce nhk
Barakamon	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	barakamon japan manga series written illustrate satsuki yoshino it start serialize square enix gangan online february 2009 issue the story follow seishu handa calligrapher move remote goto island off western coast kyushu interaction island barakamon serialize square enix gangan online february 2009 issue as punishment punch famous calligrapher young handsome calligrapher handa seishu exile small island as punishment punch famous calligrapher young handsome calligrapher handa seishu exile small island barakamon slice life manga satsuki yoshino following seishuu try use island life handa seishu young talented geniuslevel calligrapher know world calligraphy for personal reason handsome young calligrapher handa seishuu forced uproot city he live life move island westernmost edge japan in february 2014 yen press announce licensed barakamon english release north america
Beck	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	beck japan manga series written illustrate harold sakuishi it originally serialize monthly shnen magazine 1999 2008 103 chapter later publish 34 tankbon volumes kodansha it tell story group japan teenager rock band struggle fame beck mongolia chop squad anime series adapt manga same title harold sakuishi the series consist 26 episode beck air tv tokyo japan october 2004 episode the view 14 conclude america march 31 2005 koyuki meet guitarist ryuske discover love talent music tanaka yukio better known nickname koyuki 14 year old feel disconnected life general shy 14yearold yukio tanaka life change forever meet rocker ryusuke minami unpredictable 16yearold cool dog name beck beck series 2004 base yukio tanaka 14yearold teenager after meeting 16yearold guitarist ryusuke minami thanks ryusuke dog name beck koyuki inspired try hand play guitar soon discover passion music
Beelzebub	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	beelzebub japan manga series year student school juvenile delinquent written illustrate ryhei tamura beelzebub publish 2008 oneshot tamura issue 3738 weekly shnen jump subsequent winning fourth gold future cup the manga serialize same magazine 13th issue 2009 13th issue 2014 shnen jump next ishiyama high school populate entire delinquent nonstop violence lawless norm beelzebub japan manga written illustrate ryhei tamura it appear shueisha weekly shnen jump magazine february 2009 february 2014 the story follow strongest juvenile delinquent oga tatsumi year ishiyama high school delinquent
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	the band hawk enigmatic leader griffith continue winning battle battle prestige kingdom midland grow this second berserk film cover part series dealing taking important band hawk stronghold this second berserk film cover part series dealing taking important band hawk stronghold the band hawk enigmatic leader griffith continue winning battle battle prestige kingdom midland grow for three years guts believe mission pursue griffith dream
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	year pass guts part ways griffith the band hawk plot rescue mission save griffith confine prison the band hawk dwindle year guts left journey forge own destiny one year pass guts left band hawk griffith imprison kingdom midland treason in dead night camp site hide band hawk attack bakiraka assassin led silat the band hawk dwindle year guts left journey forge own destiny griffith shell charismatic year continuous horrific torture berserk ougon jidaihen iii kourin the third berserk movie complete golden age arc move eclipse arc
Berserk	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	berserk japan manga series written illustrate kentaro miura the story center character guts lone mercenary griffith leader mercenary band call band hawk the manga adapt twentyfive episode anime tv series covering series golden age arc oriental light magic air october 1997 march 1998 berserk 2016 anime television series base kentaro miura berserk manga sequel golden age arc film trilogy guts skilled swordsman join forces mercenary group name the band hawk lead charismatic griffith fight battle royal court born corpse mother young mercenary known guts embrace battlefield means survival kenpuu denki berserk anime adaptation longrunn ongoing seinen manga series publish biweekly magazine young animal create kentaro miura 1989 guts man call the black swordsman looks days serving member group mercenary band hawk nickname grim reaper battlefield the manga start serialize hakusensha monthly animal house october 1989 berserk won tezuka osamu award excellence sixth installment tezuka osamu cultural prize 2002
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	black lagoon japan manga series written illustrate rei hiroe it publish shogakukan monthly sunday genex 2002 eleven collected volumes release it later adapt anime television series madhouse air april june 2006 twelve episode second season subtitle the second barrage ran twelve week start october 2006 rokurou rock okajima join lagoon company pirate mercenary group operate out roanapur thailand despite initial protest filthy slum deprave soul merciless criminal now serve salaryman home the two season twelve episode length titled black lagoon coproduce shogakukanand black lagoon the second barrage it year rock join crew black lagoon accustomed life roanapur involved dangerous circle the series follow adventure rokuro rock okajima japan businessman abduct eventually join group outlaw known lagoon company black lagoon japan manga series written illustrate rei hiroe the story follow team piratesmercenary known lagoon company smuggle goods sea southeast asia early mid 1990s
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	black lagoon japan manga series written illustrate rei hiroe it publish shogakukan monthly sunday genex 2002 eleven collected volumes release it later adapt anime television series madhouse air april june 2006 twelve episode second season subtitle the second barrage ran twelve week start october 2006 rokurou rock okajima join lagoon company pirate mercenary group operate out roanapur thailand despite initial protest filthy slum deprave soul merciless criminal now serve salaryman home the two season twelve episode length titled black lagoon coproduce shogakukanand black lagoon the second barrage it year rock join crew black lagoon accustomed life roanapur involved dangerous circle the series follow adventure rokuro rock okajima japan businessman abduct eventually join group outlaw known lagoon company black lagoon japan manga series written illustrate rei hiroe the story follow team piratesmercenary known lagoon company smuggle goods sea southeast asia early mid 1990s
Black Lagoon	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	black lagoon japan manga series written illustrate rei hiroe it publish shogakukan monthly sunday genex 2002 eleven collected volumes release it later adapt anime television series madhouse air april june 2006 twelve episode second season subtitle the second barrage ran twelve week start october 2006 rokurou rock okajima join lagoon company pirate mercenary group operate out roanapur thailand despite initial protest filthy slum deprave soul merciless criminal now serve salaryman home the two season twelve episode length titled black lagoon coproduce shogakukanand black lagoon the second barrage it year rock join crew black lagoon accustomed life roanapur involved dangerous circle the series follow adventure rokuro rock okajima japan businessman abduct eventually join group outlaw known lagoon company black lagoon japan manga series written illustrate rei hiroe the story follow team piratesmercenary known lagoon company smuggle goods sea southeast asia early mid 1990s
Boku dake ga Inai Machi	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	erase known japan boku dake ga inai machi japan manga series written illustrate kei sanbe serialize kadokawa shoten young ace magazine june 2012 march 2016 licensed english yen press the story follow satoru fujinuma young man possess ability known revival send time moments lifethreatene incident enabling prevent happening the original manga written kei sanbe serialize kadokawa shoten young ace magazine july 2012 issue april 2016 issue boku dake ga inai machi base kei sanbe manga series same title the anime adapt full story manga condense alter event take place volumes the two episode event january 2016 shinjuku ward 29 year old satoru fujinuma time 18 years prevent event leading mother death series kidnap 5th grade year gaku yashiro main antagonist boku dake ga inai machi the final episode boku dake ga inai machi anime release a1 pictures winter 2016 anime block popular time
Boku no Hero Academia	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	my hero academia japan superhero manga series written illustrate khei horikoshi it serialize weekly shnen jump july 2014 chapter additional collected 26 tankbon volumes march 2020 the story follow izuku midoriya boy born superpower world commonplace dream hero superherolove boy powers determined enroll prestigious hero academy learn means hero after successful passing provisional hero license exam izuku deku midoriya seek out extracurricular internship professional hero agency my hero academia manga written illustrate kohei horikoshi publish weekly shonen jump the chapter publish july 2014 issue 32 weekly shonen jump despite born powerless superpowere world izuku refuse give dream hero the series licensed englishlanguage release viz media serialize weekly digital manga anthology weekly shonen jump february 2015 my hero academia written illustrate khei horikoshi
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	boruto naruto movie 2015 japan animate film director debut hiroyuki yamashita it base masashi kishimoto manga anime naruto second film part canonical naruto storyline sequel manga series its years shinobi war naruto uzumaki 7th hokage konohagakure new era boruto naruto movie eleventh film naruto series part naruto project it written masashi kishimoto creator naruto assistance uky kodachi later write boruto manga boruto naruto movie take place hidden leaf village naruto seventh hokage with naruto seventh hokage hidden leaf village plan host chunin exam train new shinobi village allied village the film open battle ninja sasuke uchiha unknown adversary watch enemy
Bungou Stray Dogs 2nd Season	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	the second season bungo stray dogs anime series base manga same kafka asagiri illustrate sango harukawa it produce bone direct takuya igarashi written yji enokido despite difference position three menthe youngest senior executive port mafia osamu dazai lowest ranking member sakunosuke oda intelligence agent angou sakaguchigather lupin bar relax take delight company friends the season air october 2016 december 22 same year in second season bungo stray dogs things dark serious frankly appropriate route anime take it collected total six dvd bluray japan december 23 2016 may 26 2017 it character development insight event past introduce new exciting unique character bungou stray dogs balance finally deliver story use literature figures supernatural thriller meet expectations season cover three different story arc osamu dazai dark era guild arc double black yin yang the second arc carry story left off season things obscure sinister
Byousoku 5 Centimeter	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	centimeter second 2007 japan animate romantic drama film makoto shinkai it theatrical premier march 2007 the film consist three segment cherry blossom cosmonaut centimeter second following period takaki tno life relationship girl the film award best animate feature film 2007 asia pacific screen award it received novel november 2007 manga adapt illustrate seike yukiko 2010 the film won 2007 asia pacific screen award best animate feature film told three interconnecte segment follow young man name takaki life cruel winter cold technology finally adult obligation responsibility converge test delicate petal love centimeter second 2007 japan animate romantic drama film produce written direct makoto shinkai it premier cinema rise shibuya tokyo march 2007 the story begin tokyo akari shinohara takaki tonoo two inseparable young friends akari move
Gintama&#039;: Enchousen	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	cardcaptor sakura movie the seal card second anime film sequel finale anime television series adaptation clamp cardcaptor sakura the animation produce madhouse direct morio asaka written nanase kawa clamp head writer it won feature film award 2000 animation kobe cardcaptor sakura movie fuuin sareta card earn total 522 million yen original theatrical run japan during summer holiday sakura class prepare present play annual nadeshiko festival cardcaptor sakura movie the seal card second anime film sequel finale anime television series adaptation clamp cardcaptor sakura sakura kinomoto mistress clow cards face wrath unsealed clow card own feelings friend syaoran li returns hong kong visit all clow cards capture sakura kinomoto new master cards prepare play lead play town festival during summer holiday sakura class prepare present play annual nadeshiko festival the seal card follow cardcaptor sakura clear card
Cardcaptor Sakura	1	0	1	0	1	1	0	1	0	0	0	1	0	0	0	cardcaptor sakura japan shjo manga series written illustrate manga group clamp the manga originally serialize nakayoshi may 1996 june 2000 publish 12 tankbon volumes kodansha november 1996 july 2000 the story focus sakura kinomoto elementary school student japan discover magical powers accidental free set magical cards world retrieve cards prevent catastrophe cardcaptor sakura won animage grand prix award best anime 1999 sakura kinomoto gardenvariety tenyearold fourth grade one stumble mysterious book contain set cards cardcaptor sakura known card captor sakura abbreviate ccs magical girl manga series wellknown allfemale artist team clamp cardcaptor sakura publish japan kodansha serialize nakayoshi an incredible icon magical girl manga written illustrate clamp publish 19962000 anime adaptation madhouse airing nhknote 19982000 cardcaptor sakura wildly successful magical girl anime late 1990s create manga studio clamp cardcaptor sakura one alltime classics magicalgirl genre collector edition definitive version story longtime fan reader new story
